method,seed,reward,fairness,constraint,damage_prevented
cpo,0,-910.5805500000002,0.3357410054577999,0.0,0.2801240000000004
cpo,1,-950.46649,0.33333333227328116,0.0,0.24571200000000015
cpo,2,-459.61255,0.913677272707087,0.31689999999999996,0.9008779999999994
cpo,3,-900.0298000000001,0.3333333322415227,0.0,0.2824640000000004
cpo,4,-1023.42549,0.37868751203231027,0.0,0.08399399999999999
cpo,5,-509.8362400000001,0.49550276641790614,0.0,0.7483979999999995
cpo,6,-655.9879000000001,0.6647174267951409,0.0,0.5858199999999997
cpo,7,-718.4049900000001,0.8847466392303192,0.239,0.5100540000000003
cpo,8,-533.1463500000001,0.6065619612879504,0.0,0.7405119999999995
cpo,9,-1133.65508,0.33333143608453386,0.0,0.008712
dqn,0,-51.434740000000005,0.963937663216712,0.07590000000000002,1.2804879999999996
dqn,1,-41.15642000000002,0.860820026413416,0.0019,1.2597839999999996
dqn,2,-40.55450000000002,0.9899861756222924,0.0015000000000000002,1.2520999999999995
dqn,3,-48.00139000000003,0.8978373728264515,0.19840000000000002,1.2572179999999997
dqn,4,-42.20330000000002,0.865579397947793,0.0507,1.2671399999999997
dqn,5,-38.858530000000016,0.9406390820658724,0.0002,1.2428059999999994
dqn,6,-38.74028000000001,0.7434028208484365,0.0,1.2674959999999993
dqn,7,-50.21841000000005,0.966151567245043,0.0,1.2681119999999995
dqn,8,-51.822050000000026,0.8821085560020017,0.0017000000000000001,1.25757
dqn,9,-41.47402000000002,0.894488780333272,0.0,1.2390439999999998
ippo,0,-626.90547,0.33333333318672953,0.0,0.6607199999999993
ippo,1,-956.5635200000002,0.3333333322222222,0.0,0.2400000000000002
ippo,2,-675.81867,0.42216984728438384,0.0,0.5473900000000004
ippo,3,-573.98913,0.6014053941206424,0.0,0.7071959999999994
ippo,4,-1149.04124,0.333275951110346,0.0,0.0012319999999999996
ippo,5,-463.32469000000015,0.4881393757048193,0.0128,0.8107099999999994
ippo,6,-656.48142,0.35394692056496774,0.0,0.5748559999999995
ippo,7,-793.7812900000001,0.6151760206963962,0.0,0.35794600000000043
ippo,8,-864.0296300000002,0.40076237972982826,0.0,0.3045280000000004
ippo,9,-1140.7842699999999,0.3635962575747487,0.0,0.0050300000000000015
lagrangian_ctde,0,-295.28822,0.658147590891007,0.0,1.0528140000000006
lagrangian_ctde,1,-293.82716,0.6581292395482962,0.0,1.0526700000000004
lagrangian_ctde,2,-294.4243,0.6582207657736389,0.0,1.0533900000000005
lagrangian_ctde,3,-292.62468,0.6581200552262172,0.0,1.0525980000000006
lagrangian_ctde,4,-292.85560000000004,0.6581933683855998,0.0,1.0531740000000005
lagrangian_ctde,5,-293.08875,0.6582390019261626,0.0,1.0535340000000004
lagrangian_ctde,6,-293.37005999999997,0.6580001335739563,0.0,1.0516620000000005
lagrangian_ctde,7,-292.54722000000004,0.6579630380010792,0.0,1.0513740000000005
lagrangian_ctde,8,-293.08029000000005,0.6580740470546382,0.0,1.0522980000000006
lagrangian_ctde,9,-291.35351,0.6580001335739563,0.0,1.0517220000000005
mappo,0,-493.30741,0.568320180609219,0.0,0.8447380000000001
mappo,1,-811.2798400000001,0.5248735576145922,0.0,0.32848000000000027
mappo,2,-659.6551500000002,0.4123652186371134,0.0,0.5722620000000002
mappo,3,-698.8426800000001,0.665872831775636,0.0,0.5186959999999996
mappo,4,-870.19627,0.4513402920591495,0.0,0.29142600000000024
mappo,5,-663.48957,0.4877474806056043,0.0,0.5287080000000003
mappo,6,-667.78296,0.4073449608602839,0.0,0.5581059999999995
mappo,7,-572.8607000000001,0.9770695035933352,0.0,0.6394239999999998
mappo,8,-528.1960600000001,0.6048042023735333,0.0,0.7456959999999995
mappo,9,-1149.1813,0.0,0.0,0.0
qmix,0,-39.65035000000001,0.8262678290102432,0.04630000000000001,1.2813999999999997
qmix,1,-38.09029000000001,0.7480981087863396,0.0538,1.3060979999999995
qmix,2,-37.470200000000006,0.7904758930446931,0.07730000000000001,1.2909499999999996
qmix,3,-41.551310000000015,0.9309501031496429,0.0030000000000000005,1.2773919999999999
qmix,4,-43.89869000000001,0.9277439675102311,0.0074,1.2964680000000002
qmix,5,-33.99144000000001,0.972192812042957,0.0,1.2923679999999995
qmix,6,-40.11407000000002,0.8386606355886355,0.07,1.2856739999999993
qmix,7,-37.77056000000002,0.9663210529066297,0.0007000000000000001,1.2654819999999996
qmix,8,-35.86004000000002,0.9875311782387264,0.053500000000000006,1.2765279999999997
qmix,9,-39.91481000000001,0.8593108076260187,0.0254,1.2867819999999996
